time	accel_ms2
2.985	-0.16433843
2.99	-0.16674376
2.995	-0.13741317
3	-0.083852293
3.005	-0.017462836
3.01	0.049160495
3.015	0.10396316
3.02	0.13722523
3.025	0.14349475
3.03	0.12338174
3.035	0.084559986
3.04	0.040770986
3.045	0.007444165
3.05	-0.005364157
3.055	0.001030807
3.06	0.013855056
3.065	0.0164389
3.07	-0.001327313
3.075	-0.037118955
3.08	-0.077969864
3.085	-0.1069091
3.09	-0.11071725
3.095	-0.086187877
3.1	-0.041895658
3.105	0.006090343
3.11	0.042439427
3.115	0.059882365
3.12	0.061043693
3.125	0.054025744
3.13	0.045546036
3.135	0.03659049
3.14	0.023309161
3.145	0.002590614
3.15	-0.022305391
3.155	-0.041586965
3.16	-0.045413389
3.165	-0.032119336
3.17	-0.010800656
3.175	0.00470737
3.18	0.005670247
3.185	-0.005953423
3.19	-0.019813352
3.195	-0.024693694
3.2	-0.01555748
3.205	0.003973942
3.21	0.024322399
3.215	0.035485904
3.22	0.032325151
3.225	0.017042901
3.23	-0.002385474
3.235	-0.01656013
3.24	-0.019296405
3.245	-0.010732477
3.25	0.00228369
3.255	0.009418229
3.26	0.003062798
3.265	-0.015604047
3.27	-0.03544093
3.275	-0.041431133
3.28	-0.024757829
3.285	0.010235612
3.29	0.047229639
3.295	0.066828741
3.3	0.057906851
3.305	0.024269759
3.31	-0.017393303
3.315	-0.046443923
3.32	-0.048715272
3.325	-0.023125228
3.33	0.018156917
3.335	0.055438361
3.34	0.070472235
3.345	0.054852673
3.35	0.013985736
3.355	-0.035264227
3.36	-0.072474025
3.365	-0.08356395
3.37	-0.067564835
3.375	-0.035767818
3.38	-0.003440358
3.385	0.019303888
3.39	0.030526104
3.395	0.033251241
3.4	0.030839395
3.405	0.02493673
3.41	0.016371451
3.415	0.006325229
3.42	-0.004079923
3.425	-0.014904779
3.43	-0.027643101
3.435	-0.043616421
3.44	-0.061023405
3.445	-0.07314007
3.45	-0.069971208
3.455	-0.043575835
3.46	0.005721899
3.465	0.066508575
3.47	0.11966361
3.475	0.14661421
3.48	0.13771841
3.485	0.09634538
3.49	0.036829348
3.495	-0.021746541
3.5	-0.06251306
3.505	-0.076506617
3.51	-0.065576637
3.515	-0.040558591
3.52	-0.014989527
3.525	0.002086351
3.53	0.009445455
3.535	0.011253037
3.54	0.011549164
3.545	0.010213631
3.55	0.003366277
3.555	-0.012181713
3.56	-0.034189638
3.565	-0.054411294
3.57	-0.062908852
3.575	-0.053984132
3.58	-0.029893309
3.585	-0.000351555
3.59	0.022238627
3.595	0.029276449
3.6	0.020395061
3.605	0.003528805
3.61	-0.009527712
3.615	-0.009825772
3.62	0.003984299
3.625	0.02612582
3.63	0.048291978
3.635	0.064334183
3.64	0.07183024
3.645	0.070457961
3.65	0.059481
3.655	0.036956695
3.66	0.002035019
3.665	-0.041356634
3.67	-0.083124626
3.675	-0.11008336
3.68	-0.11256769
3.685	-0.090431984
3.69	-0.053791134
3.695	-0.017222531
3.7	0.009199965
3.705	0.025285911
3.71	0.038114429
3.715	0.054476164
3.72	0.074819242
3.725	0.092485683
3.73	0.097861379
3.735	0.084160875
3.74	0.051886324
3.745	0.01006593
3.75	-0.026926615
3.755	-0.046685894
3.76	-0.046406455
3.765	-0.035098672
3.77	-0.027889216
3.775	-0.035955987
3.78	-0.059133454
3.785	-0.086397367
3.79	-0.10326347
3.795	-0.099886243
3.8	-0.074462081
3.805	-0.03167017
3.81	0.020377049
3.815	0.071922212
3.82	0.11273797
3.825	0.13403835
3.83	0.13089245
3.835	0.1040054
3.84	0.059892668
3.845	0.009579689
3.85	-0.033960499
3.855	-0.059845131
3.86	-0.063773694
3.865	-0.049989812
3.87	-0.028364359
3.875	-0.008385448
3.88	0.005477208
3.885	0.014312496
3.89	0.021590773
3.895	0.028704254
3.9	0.032338965
3.905	0.025984442
3.91	0.00532921
3.915	-0.025948797
3.92	-0.055143287
3.925	-0.066610255
3.93	-0.051714339
3.935	-0.015389902
3.94	0.025734074
3.945	0.052288961
3.95	0.052125038
3.955	0.025408911
3.96	-0.016845486
3.965	-0.058113276
3.97	-0.082325753
3.975	-0.079454594
3.98	-0.049498934
3.985	-0.002746994
3.99	0.044162905
3.995	0.074990598
4	0.0808091
4.005	0.06367399
4.01	0.034456541
4.015	0.005825439
4.02	-0.014669232
4.025	-0.026581123
4.03	-0.033124568
4.035	-0.036005733
4.04	-0.032932672
4.045	-0.019732301
4.05	0.004847726
4.055	0.035835651
4.06	0.063106401
4.065	0.075952605
4.07	0.068290634
4.075	0.041246345
4.08	0.001790825
4.085	-0.040202875
