"longitude","latitude","pga_cms2","pga_g"
-1.6,52.4,56.78,0.0578994865728868
-1.4,52.4,42.815,0.04365914965865
-1.2,52.4,45.825,0.0467284954597136
-1,52.4,42.515,0.0433532347947566
-0.8,52.4,42.515,0.0433532347947566
-0.6,52.4,40.41,0.0412067321664381
-0.4,52.4,31.165,0.0317794557774571
-0.2,52.4,27.335,0.0278739426817517
0,52.4,22.25,0.0226886857387589
0.2,52.4,22.25,0.0226886857387589
0.4,52.4,25.785,0.0262933825516359
0.6,52.4,26.525,0.0270479725492395
0.8,52.4,26.705,0.0272315214675756
1,52.4,30.575,0.0311778232118002
1.2,52.4,26.795,0.0273232959267436
1.4,52.4,33.315,0.0339718456353597
1.6,52.4,34.205,0.03487939306491
-4,52.6,59.62,0.0607954806177441
-3.8,52.6,55.96,0.0570633192782449
-3.6,52.6,59.095,0.0602601296059307
-3.4,52.6,54.15,0.0552176329327548
-3.2,52.6,54.15,0.0552176329327548
-3,52.6,53.96,0.055023886852289
-2.8,52.6,55.56,0.0566554327930537
-2.6,52.6,48.655,0.0496142923424411
-2.4,52.6,51.18,0.0521890757802104
-2.2,52.6,41.605,0.0424252930409467
-2,52.6,55.665,0.0567625029954164
-1.8,52.6,66.59,0.0679029026222003
-1.6,52.6,65.67,0.0669647637062605
-1.4,52.6,65.67,0.0669647637062605
-1.2,52.6,65.67,0.0669647637062605
-1,52.6,61.285,0.0624933081123523
-0.8,52.6,61.285,0.0624933081123523
-0.6,52.6,60.605,0.0617999010875273
-0.4,52.6,40.75,0.0415534356788506
-0.2,52.6,36.79,0.037515359475458
0,52.6,22.37,0.0228110516843163
0.2,52.6,21.31,0.0217301524985597
0.4,52.6,21.3,0.0217199553364299
0.6,52.6,21.26,0.0216791666879108
0.8,52.6,24.79,0.0252787649197228
1,52.6,25.715,0.0262220024167274
1.2,52.6,22.175,0.0226122070227856
1.4,52.6,23.975,0.0244476962061458
1.6,52.6,23.91,0.0243814146523023
-4,52.8,60.355,0.0615449720342829
-3.8,52.8,60.685,0.0618814783845656
-3.6,52.8,57.92,0.0590619630556816
-3.4,52.8,58.01,0.0591537375148496
-3.2,52.8,53.34,0.0543916628002427
