"id","long","lat","order","hole","piece","group","LEVL_CODE","NUTS_ID","CNTR_CODE","NUTS_NAME","FID","group_char"
"26",-50,217.28218936,81,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-50,509.15187527,82,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-30.26401426,504.90084407,83,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-27.56025328,508.60782071,84,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-28.88655845,517.49047621,85,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-7.2115041,529.57749229,86,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-2.34073565,535.63274381,87,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-1.47586392,542.48800569,88,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-24.38303162,544.92358034,89,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-33.3583886,555.22553068,90,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-12.00906494,570.3280569,91,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-10.65025715,585.86278538,92,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",0.96313561,600.46862911,93,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",16.57412166,605.54020237,94,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",18.56411894,606.19166338,95,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",26.18062966,604.00503469,96,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",39.57135554,610.32298777,97,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",45.43794101,598.18550087,98,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",46.44187696,588.41488035,99,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",49.23901985,593.19298038,100,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",49.61797485,607.54186183,101,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",61.6977976,619.44742155,102,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",81.90834109,605.78543156,103,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",64.5881026,587.36116222,104,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",58.90874569,585.94337782,105,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",55.1466631,581.9701217,106,FALSE,"1","26.1",0,"IE","IE","IRELAND","IE","26.1A"
"26",-19.99831816,584.40280943,107,FALSE,"2","26.2",0,"IE","IE","IRELAND","IE","26.2A"
"26",-17.60301946,589.29423776,108,FALSE,"2","26.2",0,"IE","IE","IRELAND","IE","26.2A"
"26",-15.06703308,586.83804182,109,FALSE,"2","26.2",0,"IE","IE","IRELAND","IE","26.2A"
"26",-15.30854749,583.21155553,110,FALSE,"2","26.2",0,"IE","IE","IRELAND","IE","26.2A"
"26",-19.99831816,584.40280943,111,FALSE,"2","26.2",0,"IE","IE","IRELAND","IE","26.2A"
"26",126.39217455,395.43286846,112,FALSE,"3","26.3",0,"IE","IE","IRELAND","IE","26.3A"
"26",129.51644953,396.75467756,113,FALSE,"3","26.3",0,"IE","IE","IRELAND","IE","26.3A"
"26",132.06076635,394.34932244,114,FALSE,"3","26.3",0,"IE","IE","IRELAND","IE","26.3A"
"26",128.62746507,391.64704426,115,FALSE,"3","26.3",0,"IE","IE","IRELAND","IE","26.3A"
"26",126.39217455,395.43286846,116,FALSE,"3","26.3",0,"IE","IE","IRELAND","IE","26.3A"
"34",525.24328818,175.62993168,1,FALSE,"1","34.1",0,"UK","UK","UNITED KINGDOM","UK","34.1A"
"34",525.74555077,175.41420619,2,FALSE,"1","34.1",0,"UK","UK","UNITED KINGDOM","UK","34.1A"
